监测时间,水质类别,水温（℃）,pH(无量纲),溶氧量(mg/L),电导率（μS/cm）,浊度（NTU）,高锰酸盐指数（mg/L）,氨氮（mg/L）,总磷（mg/L）,总氮（mg/L）,站点情况,id
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.6,8.07,10.35,517.3,5.2,2.38,0.025,0.012,0.86,正常,170
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.2,8.45,11.1,624,39.5,2.92,0.025,0.079,2.62,正常,171
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.1,8.3,9.17,822.6,5.8,1.22,0.025,0.02,3.77,正常,172
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11.6,8.55,11.47,562,5.2,1.33,0.025,0.007,3.11,正常,173
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.4,8.51,11.65,649.1,42.5,5.08,0.025,0.097,3.65,正常,174
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.6,8.04,10.67,700.2,8.4,2.68,0.025,0.023,4.19,正常,175
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.7,8.01,8.67,585.8,39.7,0.67,0.025,0.034,4.26,正常,176
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,20.8,8.44,9.21,,66.2,7.95,0.077,0.1,15.4,维护,177
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,19.2,8.12,8.15,1443.6,100.4,7.26,0.025,0.087,5.16,正常,178
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.6,8.59,15.71,725.4,22,5.41,0.025,0.037,2.35,正常,179
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17,8.28,10.28,902.9,60.3,1.58,0.025,0.035,2.47,正常,180
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,19.5,8.44,9.34,2816.7,177.9,8.14,0.214,0.217,6.21,正常,181
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.9,8.22,7.62,780.2,28.4,1.8,0.025,0.041,4.5,正常,182
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,20.5,8.01,16.28,1875.6,30.3,4.82,0.038,0.1,8,正常,183
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.3,8.14,8.35,1062.5,29.8,4.34,0.327,0.042,6.25,正常,184
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,12,7.96,7.9,772.7,33.9,1.91,0.025,0.13,6.43,正常,185
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,20.3,7.72,6.25,959.7,16.7,3.62,0.025,0.151,6.52,正常,186
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.1,8.41,10.31,608.7,4.3,2.12,0.025,0.045,3.96,正常,187
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),,13.9,8.23,8.95,490,38.3,,,,,维护,188
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.6,8.41,7.99,872.6,11.6,1.67,0.025,0.027,3.36,正常,189
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.4,8.47,10.31,1628.2,24.5,3.7,0.097,0.074,4.64,正常,190
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,20,9.15,8.52,743.2,32.7,2.69,0.025,0.047,2.87,正常,191
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.6,8.24,7.08,617.2,23.2,2.22,1.052,0.125,5.29,正常,192
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.4,8.41,6.8,579.1,2.3,1.44,0.025,0.005,4.17,正常,193
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.6,8.77,8.06,1191.3,6.4,3.8,0.026,0.062,3.02,正常,194
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.8,8.87,7.7,721,49.4,2.78,0.025,0.064,2.34,正常,195
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,20.2,8.67,7.76,1008.8,16.4,3.16,0.025,0.124,4.64,正常,196
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,9.8,8.22,9.56,591.1,1.2,1.41,0.025,0.005,2.2,正常,197
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,20.3,8.18,9.79,1108.6,29.6,5.19,0.456,0.126,4.6,正常,198
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.6,8.42,8.8,1029.5,1030.7,3.32,0.032,0.009,2.18,正常,199
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.6,8.21,10.01,1059.8,565.3,2.74,0.043,0.025,2.78,正常,200
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.8,8.32,9.77,2005.7,65.2,8.85,0.171,0.137,1.82,正常,201
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.7,8.33,9.28,1022.1,350.4,3.06,0.025,0.067,2.07,正常,202
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,3.5,7.46,12.07,99.6,9,2.51,0.025,0.027,1.02,正常,203
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,8.8,7.72,12.81,85.6,4.6,2.33,0.025,0.015,0.89,正常,204
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.2,8.61,10.21,1066.5,259.8,1.85,0.025,0.048,2.86,正常,205
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.4,8.79,12.18,,22.9,7.58,0.025,0.04,1.15,维护,206
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.5,8.71,10.15,864.4,87.6,2.28,0.025,0.036,2.45,正常,207
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,10.4,8.33,8.33,770,26,1.43,0.025,0.015,4.52,正常,208
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,2.9,6.69,11.51,146.7,16.9,9.06,0.123,0.186,1.68,正常,209
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,12.8,7.68,9.9,320.7,174.4,7.07,0.025,0.081,4.26,正常,210
,,,,,,,,,,,不具备运行条件,211
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.1,8.57,9.03,1005.7,133,1.87,0.187,0.028,2.61,正常,212
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,17.1,8.8,8.85,854.5,56.7,10.52,0.233,0.176,5.98,正常,213
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.8,7.74,10.12,723.9,7.3,6.23,0.091,0.106,5.92,正常,214
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.4,8.33,9.5,729.9,10.9,3.86,0.028,0.057,3.12,正常,215
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.1,8.17,13.76,796.4,5.9,2.51,0.025,0.042,6.04,正常,216
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13,8.59,10.81,650.4,25.2,8.2,0.073,0.068,3.73,正常,217
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14,8.02,14.39,588.2,0.6,2.2,0.043,0.016,0.43,正常,218
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.5,8.05,10.41,285.9,5.6,1.22,0.025,0.018,2.45,正常,219
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.2,8.86,13.24,516.7,14,3.04,0.06,0.051,2.71,正常,220
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.2,8.5,12.95,540.6,21.2,3.69,0.025,0.04,4.32,正常,221
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.5,7.96,9.51,795.6,4.5,2.01,0.088,0.045,4.65,正常,222
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,10.5,7.5,11.66,132.2,4.1,2.05,0.029,0.018,1.98,正常,223
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,14.1,9.19,10.88,259.4,4,1.53,0.027,0.032,2.75,正常,224
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.2,8.63,15.1,792,15.5,5.62,0.248,0.105,6.39,正常,225
,,,,,,,,,,,不具备运行条件,226
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.4,8.5,11.79,318.1,4.7,1.39,0.044,0.033,2.8,正常,227
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,9.6,8.14,10.99,391.9,1.6,0.94,0.025,0.006,3.47,正常,228
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.3,8.74,14.74,672.5,24.1,4.12,0.288,0.086,6.4,正常,229
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,6.6,7.74,14.31,254.7,3.5,1.81,0.025,0.014,2.86,正常,230
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.2,8.2,9.42,551.2,15.6,1.54,0.071,0.036,5.23,正常,231
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.7,8.46,16.83,528,2,2.03,0.025,0.031,3.19,正常,232
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.4,8.74,12.4,287.4,5.2,1.02,0.027,0.024,3.77,正常,233
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,14,8.46,10.52,251.2,4.4,1.17,0.025,0.012,3.55,正常,234
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.2,8.57,11.45,289.9,7.8,2.48,0.025,0.012,4.27,正常,235
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,10.4,8.93,12.86,191.8,9.3,1.39,0.025,0.008,3.19,正常,236
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.8,8.31,12.52,306.6,9.7,1.22,0.034,0.016,2.58,正常,237
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.2,8.03,10.22,479,8.3,2.55,0.542,0.05,4.78,正常,238
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,8.7,7.45,10.3,339.4,2,0.68,0.032,0.01,4.95,正常,239
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,10.4,8.09,10.46,117.7,8.2,0.6,0.025,0.005,3.44,正常,240
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,8.8,7.52,10.49,152.1,3.8,1.79,0.025,0.015,2.31,正常,241
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11,8.7,11.24,228.1,5.8,0.8,0.025,0.017,2.99,正常,242
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,10.9,7.28,11.17,508,1.7,0.55,0.089,0.01,3.5,正常,243
,,,,,,,,,,,维护,244
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.5,8.3,10.24,866.6,22,3.1,0.069,0.053,5.81,正常,245
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.2,8.1,10.1,848.2,16.7,5.52,0.364,0.11,8.12,正常,246
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.4,8.35,11.14,710.7,20,3.1,0.025,0.043,8.56,正常,247
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.6,8.53,11.19,425.5,8.2,2.65,0.039,0.027,0.56,正常,248
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.8,8.28,8.04,1237.6,17.2,2.42,0.077,0.058,13.54,正常,249
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,6.7,7.45,4.22,1111.9,8.9,3.85,0.102,0.077,9.68,正常,250
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,12.7,8.3,12.34,287.1,4.6,1.02,0.035,0.016,5.17,正常,251
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.2,8.16,9.45,877.8,12.6,2.52,0.051,0.038,3.18,正常,252
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.8,8.52,10.01,1127.9,10.5,3.35,0.06,0.032,2.49,正常,253
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17,7.97,12.58,762.3,11.3,5.12,0.025,0.033,3.34,正常,254
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.4,7.79,8.85,861,2.6,4.54,0.04,0.051,7.95,正常,255
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.3,7.69,10.42,1175.1,12.5,3.64,0.054,0.04,9.18,正常,256
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.2,8.38,12.49,1121.8,15.3,4.23,0.037,0.028,1.9,正常,257
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.6,7.86,10.05,923.8,6.9,3.87,0.035,0.057,5.93,正常,258
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.2,8.44,11.62,1006.3,4.6,2.26,0.034,0.047,4.73,正常,259
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.4,7.87,8.76,1064.2,11.1,3.02,0.073,0.034,3.86,正常,260
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.8,8.07,10.43,1056.4,14.1,4.51,0.034,0.068,4.27,正常,261
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17,7.66,9.62,1209.1,38.7,3.14,0.259,0.089,6.98,正常,262
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.8,8.69,16,1229.7,13.3,4.82,0.094,0.125,7.1,正常,263
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),,17.6,8.98,,1151.7,1.7,4.43,0.044,0.048,6.08,维护,264
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.5,8.3,10.31,419.2,5.5,2.49,0.025,0.005,1.18,正常,265
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.3,8.1,9.64,880.9,24.8,4.85,0.419,0.076,5.09,正常,266
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.1,8.27,11.77,437.6,2.8,2.2,0.025,0.005,1.3,正常,267
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.7,8.14,10.54,500.3,13.8,1.38,0.025,0.005,4.4,正常,268
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,15.4,7.97,9.46,592.8,3.3,1.22,0.025,0.005,5.3,正常,269
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.3,8.46,13.4,596.9,7.8,2.84,0.025,0.005,3.89,正常,270
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.1,8.29,7.25,547.3,21,1.4,0.025,0.005,10.62,正常,271
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),,16.2,8.1,9.31,1073.9,13.3,,0.111,0.059,1,维护,272
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17,8.9,12.89,849.7,7.5,4,0.048,0.04,1.07,正常,273
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.4,8.52,15.61,868.9,3.9,3.12,0.061,0.044,0.5,正常,274
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,16.5,9.13,18.84,1568.5,5.4,4.89,0.044,0.062,1.19,正常,275
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.2,8.3,9.73,285.6,1.6,1.52,0.025,0.005,1.17,正常,276
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.2,8.67,13.9,,8.5,4.11,0.096,0.114,2,维护,277
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,15.1,8.05,9.61,288.3,5,1.62,0.025,0.005,1.13,正常,278
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.5,8.24,13.46,972.3,0.9,5.58,0.105,0.05,5.51,正常,279
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15,8.87,10.63,1011.5,4.4,3.73,0.025,0.041,2.41,正常,280
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.2,8.46,12.28,2642.4,9.9,4.86,0.025,0.051,4.88,正常,281
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,14.5,9.03,16.35,26761.6,18.5,11.1,0.342,0.151,2.17,正常,282
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.9,8.42,10.68,37089,22.8,2.68,0.759,0.025,1.25,正常,283
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.1,8.08,9.21,19939.4,99.4,4.33,0.685,0.112,1.5,正常,284
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.1,8.38,11.33,1783.6,15.6,6.2,0.025,0.07,4.61,正常,285
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.6,8.67,9.78,15880.5,33.7,5.91,0.184,0.104,2.09,正常,286
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.9,8.79,14.18,1876.2,15.6,5.93,0.057,0.069,4.73,正常,287
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.5,8.36,10.52,551.5,2.2,4.36,0.032,0.015,0.99,正常,288
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.6,8.24,8.84,515.2,4.3,2.86,0.025,0.017,1.17,正常,289
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.3,8.62,11.37,704.9,4.9,1.76,0.025,0.024,8.5,正常,290
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.6,8.25,12.82,828.8,12.7,2.47,0.025,0.029,10.18,正常,291
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),,16.7,8.75,12.22,750.9,1.4,,0.025,0.018,9.88,维护,292
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.1,8.92,18.96,515,5.6,3.35,0.025,0.029,0.96,正常,293
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.2,8.4,22.97,628.2,26.1,4.09,0.025,0.036,3.29,正常,294
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.7,7.91,8.6,1180.5,9.4,0.48,0.058,0.038,5.66,正常,295
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,19,8.28,11.98,961.2,27.4,0.99,0.025,0.017,6.76,正常,296
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,17,8.57,10.19,319.2,2.7,1.39,0.025,0.007,1.23,正常,297
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,17,8.32,6.18,1382.8,21.2,8.11,0.259,0.139,7.44,正常,298
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12,8.87,14.74,561.3,1.8,2.21,0.025,0.014,3.2,正常,299
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,17.5,9.01,15.2,768.5,9.5,4.78,0.044,0.069,1.24,正常,300
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,13.9,9.56,22.07,920.5,7.3,6.21,0.05,0.061,1.1,正常,301
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.5,8.17,10.95,497.5,5.5,1.57,0.059,0.029,2.83,正常,302
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.2,8.18,11.51,14148.2,1.8,2.58,0.025,0.024,0.85,正常,303
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,16.1,9.04,27.77,12107.5,4.6,8.26,0.115,0.039,2.85,正常,304
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11.1,8.57,13.41,464.2,2.1,1.72,0.025,0.011,2.25,正常,305
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.1,8.44,11.79,776.8,3.8,2.96,0.046,0.017,1.63,正常,306
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.6,8.04,10.68,982.2,19.9,2.58,0.245,0.076,1.97,正常,307
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,13.7,9.2,13.87,2508.7,4.9,5.03,0.039,0.042,3.71,正常,308
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.8,8.85,17.33,1966.5,12.3,5.87,0.025,0.078,2.84,正常,309
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.3,6.29,5.91,44865.4,6.7,5.3,0.499,0.005,1.63,正常,310
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17,8.32,9.34,587.7,31.2,1.06,0.025,0.026,4.9,正常,311
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.9,8.66,10.52,538.1,2.1,1.09,0.025,0.005,4.77,正常,312
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.7,8.8,10.31,547.7,59.3,2.66,0.025,0.091,2.15,正常,313
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.4,8.58,8.4,880.8,71.6,5.51,0.445,0.112,5.71,正常,314
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.4,8.64,8.61,916.3,24,3.01,0.216,0.105,8.44,正常,315
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.2,8.22,9.73,758.9,15.8,2.84,0.032,0.022,4.41,正常,316
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,20,8.5,15.13,1117.2,12.6,4.3,0.034,0.038,6.79,正常,317
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.4,8.75,10.9,670.4,6.8,2.41,0.025,0.02,6.77,正常,318
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,18,8.22,9.79,583.9,11.1,1.09,0.025,0.02,5.83,正常,319
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.6,8.19,9.28,491.4,12.8,1.03,0.025,0.019,3.79,正常,320
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.5,8.57,8.82,1214.8,76.1,3.45,0.025,0.06,4.9,正常,321
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.7,8.56,9.9,1303,44,4.27,0.221,0.074,3.31,正常,322
,,,,,,,,,,,不具备运行条件,323
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.1,8.39,10.87,718.6,2,1.36,0.025,0.018,2.88,正常,324
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,14.1,8.32,7.72,432.6,6.9,1.28,0.025,0.005,2.08,正常,325
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.6,8.34,9.14,417.8,59.6,3.42,0.033,0.058,3.36,正常,326
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,14.4,8.56,9.65,923.2,2.3,0.81,0.025,0.005,1.8,正常,327
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.5,8.35,10.61,713.2,19.8,3.19,0.025,0.042,4.4,正常,328
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.9,8.53,10.76,1367.7,2.5,1.31,0.025,0.018,2.4,正常,329
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,12.8,8.34,8.68,331.8,64.2,4.51,0.032,0.049,2.14,正常,330
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.6,8.27,9.92,625.7,19.4,3.57,0.081,0.059,4.62,正常,331
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.6,8.48,9.43,850.3,30.8,1.65,0.025,0.052,7.31,正常,332
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,12.4,8.11,12.94,691.1,2.6,1.01,0.025,0.005,6.25,正常,333
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.8,8.32,7.14,692.5,4,2.9,0.039,0.028,4.97,正常,334
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16,8.3,8.76,719.8,10.6,2.02,0.025,0.033,3.71,正常,335
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.2,7.94,8.92,568.2,6.6,2,0.025,0.023,6.85,正常,336
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,15.4,9.08,13.65,2878.3,15.1,5.74,0.025,0.052,1.03,正常,337
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,15.9,8.67,14.32,,21.5,6.72,0.025,0.1,0.81,维护,338
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.4,7.82,10.31,40097.4,102.4,3.8,1.329,0.051,2,正常,339
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.9,8.46,10.73,2030.7,38.3,5.25,0.059,0.058,0.85,正常,340
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.7,8.81,14.7,2481.3,22.3,4.16,0.025,0.045,2.78,正常,341
Fri Apr 12 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,16.1,9.53,28.72,1039.6,12.1,4.95,0.042,0.032,0.91,正常,342
